Time,Max,Min,Open,Close
2020/6/24,3115.01,3032.13,3114.4,3050.33
2020/6/25,3086.25,3024.01,3046.6,3083.76
2020/6/26,3073.73,3004.63,3073.2,3009.05
2020/6/29,3053.89,2999.74,3018.59,3053.24
2020/6/30,3111.51,3047.83,3050.2,3100.29
2020/7/1,3128.7,3100.46,3104.86,3115.9
2020/7/2,3165.81,3124.52,3143.64,3130.01
2020/7/6,3182.59,3155.29,3155.29,3179.72
2020/7/7,3184.15,3142.93,3166.44,3145.32
2020/7/8,3171.8,3136.53,3153.07,3169.94
2020/7/9,3179.78,3115.7,3176.17,3152.05
2020/7/10,3186.82,3136.22,3152.47,3185.04
2020/7/13,3235.32,3149.43,3205.08,3155.22
2020/7/14,3200.95,3127.66,3141.11,3197.52
2020/7/15,3238.28,3200.76,3225.98,3226.56
2020/7/16,3220.39,3198.59,3208.36,3215.57
2020/7/17,3233.52,3205.65,3224.21,3224.73
2020/7/20,3258.61,3215.16,3224.29,3251.84
2020/7/21,3277.29,3247.77,3268.52,3257.3
2020/7/22,3279.32,3253.1,3254.86,3276.02
2020/7/23,3279.99,3222.66,3271.64,3235.66
2020/7/24,3227.26,3200.05,3218.58,3215.63
2020/7/27,3241.43,3214.25,3219.84,3239.41
2020/7/28,3243.72,3216.17,3234.27,3218.44
2020/7/29,3243.72,3216.17,3227.22,3258.44
2020/7/30,3250.92,3204.13,3231.76,3246.22
2020/7/31,3272.17,3220.26,3270.45,3271.12
2020/8/3,3302.73,3284.53,3288.26,3294.61
2020/8/4,3306.84,3286.37,3289.92,3306.51
2020/8/5,3330.77,3317.37,3317.37,3327.77
2020/8/6,3351.03,3318.14,3323.17,3349.16
2020/8/7,3352.54,3328.72,3340.05,3351.28
2020/8/10,3363.29,3335.44,3356.04,3360.47
2020/8/11,3381.01,3326.44,3370.34,3333.69
2020/8/12,3387.89,3355.46,3355.46,3380.35
2020/8/13,3387.24,3363.35,3372.95,3373.43
2020/8/14,3378.51,3361.64,3368.66,3372.85
2020/8/17,3387.59,3379.22,3380.86,3381.99
2020/8/18,3395.06,3370.15,3387.04,3389.78
2020/8/19,3399.54,3369.66,3392.51,3374.85
2020/8/20,3390.8,3354.69,3360.48,3385.51
2020/8/21,3399.96,3379.31,3386.01,3397.16
2020/8/24,3432.09,3413.13,3418.09,3431.28
2020/8/25,3444.21,3425.84,3435.95,3443.62
2020/8/26,3481.07,3444.15,3449.97,3478.73
2020/8/27,3501.38,3468.35,3485.14,3484.55
2020/8/28,3509.23,3484.32,3494.69,3508.01
2020/8/31,3514.77,3493.25,3509.73,3500.31
2020/9/1,3514.77,3493.25,3507.44,3526.65
2020/9/2,3588.11,3535.23,3543.76,3580.84
2020/9/3,3564.85,3427.41,3564.74,3455.06
2020/9/4,3479.15,3349.63,3453.6,3426.96
2020/9/8,3379.97,3329.27,3371.88,3331.84
2020/9/9,3424.77,3366.84,3369.82,3398.96
2020/9/10,3425.55,3329.25,3412.56,3339.19
2020/9/11,3368.95,3310.47,3352.7,3340.97
2020/9/14,3402.93,3363.56,3363.56,3383.54
2020/9/15,3419.48,3389.25,3407.73,3401.2
2020/9/16,3428.92,3384.45,3411.23,3385.49
2020/9/17,3375.17,3328.82,3346.86,3357.01
2020/9/18,3362.27,3292.4,3357.38,3319.47
2020/9/21,3285.57,3229.1,3285.57,3281.06
2020/9/22,3320.31,3270.95,3295.75,3315.57
2020/9/23,3323.35,3232.57,3320.11,3236.92
2020/9/24,3278.7,3209.45,3226.14,3246.59
2020/9/25,3306.88,3228.44,3236.66,3298.46
2020/9/28,3360.74,3332.91,3333.9,3351.6
2020/9/29,3357.92,3327.54,3350.92,3335.47
2020/9/30,3393.56,3340.47,3341.21,3363
2020/10/1,3397.18,3361.39,3385.87,3380.8
2020/10/2,3369.1,3323.69,3338.94,3348.44
2020/10/5,3409.57,3367.27,3367.27,3408.62
2020/10/6,3431.56,3354.54,3408.74,3360.95
2020/10/7,3426.26,3384.56,3384.56,3419.45
2020/10/8,3447.28,3428.15,3434.28,3446.83
2020/10/9,3482.34,3458.07,3459.67,3477.13
2020/10/12,3549.85,3499.61,3500.02,3534.22
2020/10/13,3534.01,3500.86,3534.01,3511.93
2020/10/14,3527.94,3480.55,3515.47,3488.67
2020/10/15,3489.08,3440.89,3453.72,3483.34
2020/10/16,3515.76,3480.45,3493.5,3483.81
2020/10/19,3502.42,3419.93,3493.66,3426.92
2020/10/20,3476.93,3435.65,3439.38,3443.12
2020/10/21,3464.86,3433.06,3439.91,3435.56
2020/10/22,3460.53,3415.34,3438.5,3453.49
2020/10/23,3466.46,3440.45,3464.9,3465.39
2020/10/26,3441.42,3364.86,3441.42,3400.97
2020/10/27,3409.51,3388.71,3403.15,3390.68
2020/10/28,3342.48,3268.89,3342.48,3271.03
2020/10/29,3341.05,3259.82,3277.17,3310.11
2020/10/30,3304.93,3233.94,3293.59,3269.96
2020/11/2,3330.14,3279.74,3296.2,3310.24
2020/11/3,3389.49,3336.25,3336.25,3369.02
2020/11/4,3486.25,3405.17,3406.46,3443.44
2020/11/5,3529.05,3485.74,3485.74,3510.45
2020/11/6,3521.58,3484.34,3508.34,3509.44
2020/11/9,3645.99,3547.48,3583.04,3550.5
2020/11/10,3557.22,3511.91,3543.26,3545.53
2020/11/11,3581.16,3557,3563.22,3572.66
2020/11/12,3569.02,3518.58,3562.67,3537.01
2020/11/13,3593.66,3552.57,3552.57,3585.15
2020/11/16,3628.51,3600.16,3600.16,3626.91
2020/11/17,3623.11,3588.68,3610.31,3609.53
2020/11/18,3619.09,3567.33,3612.09,3567.79
2020/11/19,3585.22,3543.84,3559.41,3581.87
2020/11/20,3581.23,3556.85,3579.31,3557.54
2020/11/23,3589.81,3552.77,3566.82,3577.59
2020/11/24,3642.31,3594.52,3594.52,3635.41
2020/11/25,3635.5,3617.76,3635.5,3629.65
2020/11/27,3644.31,3629.33,3638.55,3638.35
2020/11/30,3634.18,3594.39,3634.18,3621.63
2020/12/1,3678.45,3645.87,3645.87,3662.45
2020/12/2,3670.96,3644.84,3653.78,3669.01
2020/12/3,3682.73,3657.17,3668.28,3666.72
2020/12/4,3699.2,3670.94,3670.94,3699.12
2020/12/7,3697.41,3678.88,3694.73,3691.96
2020/12/8,3708.45,3678.83,3683.05,3702.25
2020/12/9,3712.39,3660.54,3705.98,3672.82
2020/12/10,3678.49,3645.18,3659.13,3668.1
2020/12/11,3665.91,3633.4,3656.08,3663.46
2020/12/14,3697.61,3645.84,3675.27,3647.49
2020/12/15,3695.29,3659.62,3666.41,3694.62
2020/12/16,3711.27,3688.57,3696.25,3701.17
2020/12/17,3725.12,3710.87,3713.65,3722.48
2020/12/18,3726.7,3685.84,3722.39,3709.41
2020/12/21,3702.9,3636.48,3684.28,3694.92
2020/12/22,3698.26,3676.16,3698.08,3687.26
2020/12/23,3711.24,3689.28,3693.42,3690.01
2020/12/24,3703.82,3689.32,3694.03,3703.06
2020/12/28,3740.51,3723.03,3723.03,3735.36
2020/12/29,3756.12,3723.31,3750.01,3727.04
2020/12/30,3744.63,3730.21,3736.19,3732.04
2020/12/31,3760.2,3726.88,3733.27,3756.07
